SourceFile,GPSLatitude,GPSLatitudeRef,GPSLongitude,GPSLongitudeRef,GPSAltitude,GPSAltitudeRef
C:/Users/danil/Desktop/Frames/frame1034.png,59.958000515696106,59.958000515696106,30.33652446903372,30.33652446903372,13.190020192863292,13.190020192863292
C:/Users/danil/Desktop/Frames/frame1035.png,59.957998546183255,59.957998546183255,30.336518244016425,30.336518244016425,12.42630535270824,12.42630535270824
C:/Users/danil/Desktop/Frames/frame1036.png,59.95799576649385,59.95799576649385,30.33650868112203,30.33650868112203,11.481471680252156,11.481471680252156
C:/Users/danil/Desktop/Frames/frame1037.png,59.95799454023627,59.95799454023627,30.33650168373402,30.33650168373402,11.102767224936553,11.102767224936553
C:/Users/danil/Desktop/Frames/frame1038.png,59.957993709646985,59.957993709646985,30.33649442765883,30.33649442765883,10.777241031283607,10.777241031283607
C:/Users/danil/Desktop/Frames/frame1039.png,59.957992958025216,59.957992958025216,30.33648703717725,30.33648703717725,10.555826437949426,10.555826437949426
C:/Users/danil/Desktop/Frames/frame1040.png,59.95799234914983,59.95799234914983,30.33647977106777,30.33647977106777,10.417877777587279,10.417877777587279
C:/Users/danil/Desktop/Frames/frame1041.png,59.957992082590735,59.957992082590735,30.336473056990027,30.336473056990027,10.423682183928799,10.423682183928799
C:/Users/danil/Desktop/Frames/frame1042.png,59.957991893017564,59.957991893017564,30.336465987172506,30.336465987172506,10.401868808064798,10.401868808064798
C:/Users/danil/Desktop/Frames/frame1043.png,59.957991715240354,59.957991715240354,30.33645954582536,30.33645954582536,10.402351206962312,10.402351206962312
C:/Users/danil/Desktop/Frames/frame1044.png,59.95799143847039,59.95799143847039,30.33645176409557,30.33645176409557,10.387319271687927,10.387319271687927
C:/Users/danil/Desktop/Frames/frame1045.png,59.95799117657795,59.95799117657795,30.336444572572425,30.336444572572425,10.387932603977532,10.387932603977532
C:/Users/danil/Desktop/Frames/frame1046.png,59.95799102171148,59.95799102171148,30.336437334893347,30.336437334893347,10.367033451279596,10.367033451279596
C:/Users/danil/Desktop/Frames/frame1047.png,59.957990783198824,59.957990783198824,30.336429930681238,30.336429930681238,10.36437709575381,10.36437709575381
C:/Users/danil/Desktop/Frames/frame1048.png,59.95799053048599,59.95799053048599,30.336422534385882,30.336422534385882,10.34765501184061,10.34765501184061
C:/Users/danil/Desktop/Frames/frame1049.png,59.95799030637057,59.95799030637057,30.336415489106326,30.336415489106326,10.345035966492286,10.345035966492286
C:/Users/danil/Desktop/Frames/frame1050.png,59.957989943172414,59.957989943172414,30.33640805500559,30.33640805500559,10.335771747528636,10.335771747528636
C:/Users/danil/Desktop/Frames/frame1051.png,59.957989893924136,59.957989893924136,30.336400309240098,30.336400309240098,10.320216702893791,10.320216702893791
C:/Users/danil/Desktop/Frames/frame1052.png,59.957989633356654,59.957989633356654,30.336392797237327,30.336392797237327,10.29242490467181,10.29242490467181
C:/Users/danil/Desktop/Frames/frame1053.png,59.957989380815825,59.957989380815825,30.33638509021272,30.33638509021272,10.283994978257258,10.283994978257258
