grabNumber,grabMsec,deviceSec,deviceUsec,cameraProperties,episode
216,42655,4640,262192,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
217,42780,4640,387184,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
218,42905,4640,512176,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
219,43030,4640,637169,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
220,43155,4640,762161,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
221,43280,4640,887153,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
222,43405,4641,12145,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
223,43530,4641,137137,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
224,43655,4641,262130,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
225,43780,4641,387122,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
226,43905,4641,512114,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
227,44030,4641,637106,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
228,44155,4641,762098,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
229,44280,4641,887091,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.1}",new.004.001.
230,44405,4642,12083,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.1}",new.004.001.
231,44530,4642,137075,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
232,44655,4642,262067,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
233,44780,4642,387059,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
234,44905,4642,512052,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
235,45030,4642,637044,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
236,45155,4642,762036,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
237,45280,4642,887028,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
238,45405,4643,12020,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
239,45530,4643,137013,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
240,45655,4643,262005,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
241,45780,4643,386997,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
242,45905,4643,511989,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
243,46030,4643,636981,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
244,46155,4643,761974,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
245,46280,4643,886966,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
246,46405,4644,11958,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
247,46530,4644,136950,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
248,46655,4644,261942,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
249,46780,4644,386935,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 1, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 45.35}",new.004.001.
