nord,east,alt,speed,vf,vl,vu,yaw,pitch,roll,af,al,au,wf,wl,wu,numsats,satellitesInView,profile,fixQuality,HDOP,timestamp,grabMsec,episode
59.9587042,30.3450902,7.956,4.642,0.0,0.0,0.0,-3.4631486243187246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,43,0,4,0.67,2024-07-19T11: 52: 01.500+03: 00,42569,new.004.001.
59.9587003,30.3450874,7.951,4.614,0.0,0.0,0.0,-3.483638789737138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,43,0,4,0.67,2024-07-19T11: 52: 01.600+03: 00,42669,new.004.001.
59.9586964,30.3450845,7.96,4.689,0.0,0.0,0.0,-3.4896950822415578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,43,0,4,0.67,2024-07-19T11: 52: 01.700+03: 00,42768,new.004.001.
59.9586923,30.3450817,7.953,4.765,0.0,0.0,0.0,-3.4772578659918465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,43,0,4,0.72,2024-07-19T11: 52: 01.800+03: 00,42868,new.004.001.
59.9586882,30.3450788,7.953,4.787,0.0,0.0,0.0,-3.480814847007411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,43,0,4,0.72,2024-07-19T11: 52: 01.900+03: 00,42968,new.004.001.
59.9586841,30.3450758,7.951,4.843,0.0,0.0,0.0,-3.4920949099630505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,43,0,4,0.72,2024-07-19T11: 52: 02.000+03: 00,43075,new.004.001.
59.95868,30.3450729,7.942,4.865,0.0,0.0,0.0,-3.4805635195951243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,43,0,4,0.82,2024-07-19T11: 52: 02.100+03: 00,43171,new.004.001.
59.9586757,30.3450699,7.943,4.998,0.0,0.0,0.0,-3.4730952557258403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,43,0,4,0.82,2024-07-19T11: 52: 02.200+03: 00,43275,new.004.001.
59.9586714,30.3450669,7.934,4.999,0.0,0.0,0.0,-3.4861381012259938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,43,0,4,0.86,2024-07-19T11: 52: 02.300+03: 00,43369,new.004.001.
59.9586671,30.3450639,7.933,5.05,0.0,0.0,0.0,-3.474688741332911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,43,0,4,0.82,2024-07-19T11: 52: 02.400+03: 00,43468,new.004.001.
